Node:ROSE,Pid:0,Tid:0,event_type:start,event_name:start,ret:0,time:1621308223316,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:0,Tid:0,event_type:Fault,event_name:write_fail,ret:0,time:1623572464936,arg1:0,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:clock_nanosleep,ret:-516,time:1622850760489,arg1:20,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:access,ret:-2,time:1622851415497,arg1:20,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852307736,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852312629,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852316885,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852321022,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852325219,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852329285,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852334483,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852339471,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852343893,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:execve,ret:-2,time:1622852348347,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:access,ret:-2,time:1622852960216,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:ioctl,ret:-25,time:1622855503806,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:fcntl,ret:-9,time:1622855521954,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622857154730,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/home/vagrant/anduril-dep/protobuf-build/bin/dirname
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622857161754,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/home/vagrant/anduril-dep/protobuf-build/bin/dirname
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622857168029,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/home/vagrant/anduril-dep/protobuf-build/bin/dirname
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622857174277,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/home/vagrant/anduril-dep/protobuf-build/bin/dirname
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622857181654,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/home/vagrant/anduril-dep/protobuf-build/bin/dirname
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622857188803,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/home/vagrant/anduril-dep/protobuf-build/bin/dirname
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622857195843,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/home/vagrant/anduril-dep/protobuf-build/bin/dirname
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622857202400,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/home/vagrant/anduril-dep/protobuf-build/bin/dirname
Node:zookeeper,Pid:14098,Tid:14098,event_type:sys_exit,event_name:access,ret:-2,time:1622857880332,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14097,Tid:14097,event_type:sys_exit,event_name:wait4,ret:-10,time:1622858332263,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14094,Tid:14094,event_type:sys_exit,event_name:wait4,ret:-10,time:1622858634092,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14099,Tid:14099,event_type:sys_exit,event_name:close,ret:-9,time:1622859733862,arg1:4,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:access,ret:-2,time:1622860510855,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:access,ret:-2,time:1622860853789,arg1:1,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:openat,ret:-2,time:1622860866491,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/../lib/amd64/jli/glibc-hwcaps/x86-64-v3/libz.so.1
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622860874512,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/bin/java
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:openat,ret:-2,time:1622860881020,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/../lib/amd64/jli/glibc-hwcaps/x86-64-v2/libz.so.1
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622860887140,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/bin/java
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:openat,ret:-2,time:1622860893505,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/../lib/amd64/jli/libz.so.1
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:openat,ret:-2,time:1622860906591,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/../lib/amd64/glibc-hwcaps/x86-64-v3/libz.so.1
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622860912370,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/bin/java
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860917490,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en_US.UTF-8/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:openat,ret:-2,time:1622860918231,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/../lib/amd64/glibc-hwcaps/x86-64-v2/libz.so.1
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860920498,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en_US.utf8/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860923073,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en_US/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:newfstatat,ret:-2,time:1622860923997,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/bin/java
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860925552,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en.UTF-8/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860928193,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en.utf8/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:openat,ret:-2,time:1622860930120,arg1:1,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/../lib/amd64/libz.so.1
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860931369,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale/en/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860934048,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en_US.UTF-8/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860936247,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en_US.utf8/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860938510,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en_US/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860940775,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en.UTF-8/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860943210,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en.utf8/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:openat,ret:-2,time:1622860945415,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/share/locale-langpack/en/LC_MESSAGES/grep.mo
Node:zookeeper,Pid:14101,Tid:14101,event_type:sys_exit,event_name:lseek,ret:-29,time:1622861063362,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:openat,ret:-2,time:1622861195610,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/../lib/amd64/jli/libc.so.6
Node:zookeeper,Pid:14100,Tid:14100,event_type:sys_exit,event_name:openat,ret:-2,time:1622861202103,arg1:3,arg2:0,arg3:0,arg4:0,arg5:/usr/lib/jvm/java-8-openjdk-amd64/jre/bin/../lib/amd64/libc.so.6
Node:zookeeper,Pid:14100,Tid:14102,event_type:sys_exit,event_name:readlink,ret:-22,time:1622866229996,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14102,event_type:sys_exit,event_name:readlink,ret:-22,time:1622866234301,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14102,event_type:sys_exit,event_name:readlink,ret:-22,time:1622866237751,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14102,event_type:sys_exit,event_name:readlink,ret:-22,time:1622866241408,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14102,event_type:sys_exit,event_name:readlink,ret:-22,time:1622866245051,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14102,event_type:sys_exit,event_name:readlink,ret:-22,time:1622866248786,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
Node:zookeeper,Pid:14100,Tid:14102,event_type:sys_exit,event_name:readlink,ret:-22,time:1622866252623,arg1:3,arg2:0,arg3:0,arg4:0,arg5:na
